,0,1,2,3,4,5,6,7,8,9,10
WORD_SEP,8,-1,-1,-1,-1,-1,-1,-1,8,-1,-1
STRING_CHAR,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1
DIGIT,7,-1,-1,-1,-1,-1,-1,7,,-1,-1
LETTER,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LOWER_U,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LOWER_N,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1
LOWER_S,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
LOWER_E,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
LOWER_T,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1
NOT_LOWER_N,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1
NOT_LOWER_S,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1
NOT_LOWER_E,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1
NOT_LOWER_T,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1
NOT_LOWER_S_OR_U,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LETER_OR_DIGIT,7,-1,-1,-1,-1,6,6,-1,-1,-1,-1
LBRACE,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
RBRACE,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1
